indice,"id_comb,""quantity DS HTL"",P3HT,PCBM,""ratio P3HT:PCBM""",time,temperature,dew point,hummidity,presure
1,1.2857142857142858,0,15.77,6.52,58.44,1013.66
2,1.2857142857142858,1,15.77,6.52,58.44,1013.66
3,1.2857142857142858,2,15.77,6.52,58.44,1013.66
4,1.2857142857142858,3,15.77,6.52,58.44,1013.66
5,1.2857142857142858,4,15.77,6.52,58.44,1013.66
6,1.2857142857142858,5,15.77,6.52,58.44,1013.66
7,1.2857142857142858,6,15.77,6.52,58.44,1013.66
8,1.2857142857142858,7,15.77,6.52,58.44,1013.66
9,1.2857142857142858,8,15.77,6.52,58.44,1013.66
10,1.2857142857142858,9,15.77,6.52,58.44,1013.66
11,1.2857142857142858,10,15.77,6.52,58.44,1013.66
12,1.2857142857142858,11,15.77,6.52,58.44,1013.66
13,1.2857142857142858,12,15.77,6.52,58.44,1013.66
14,1.2857142857142858,13,15.77,6.52,58.44,1013.66
15,1.2857142857142858,14,15.77,6.52,58.44,1013.66
16,1.2857142857142858,15,15.77,6.52,58.44,1013.66
17,1.2857142857142858,16,15.77,6.52,58.44,1013.66
18,1.2857142857142858,17,15.77,6.52,58.44,1013.66
19,1.2857142857142858,18,15.77,6.52,58.44,1013.66
20,1.2857142857142858,19,15.77,6.52,58.44,1013.66
21,1.2857142857142858,20,15.77,6.52,58.44,1013.66
22,1.2857142857142858,21,15.77,6.52,58.44,1013.66
23,1.2857142857142858,22,15.77,6.52,58.44,1013.66
24,1.2857142857142858,23,15.77,6.52,58.44,1013.66
25,1.2857142857142858,24,15.77,6.52,58.44,1013.66
26,1.2857142857142858,25,15.77,6.52,58.44,1013.66
27,1.2857142857142858,26,15.77,6.52,58.44,1013.66
28,1.2857142857142858,27,15.77,6.52,58.44,1013.66
29,1.2857142857142858,28,15.77,6.52,58.44,1013.66
30,1.2857142857142858,29,15.77,6.52,58.44,1013.66
31,1.2857142857142858,30,15.77,6.52,58.44,1013.66
32,1.4285714285714286,0,15.77,6.52,58.44,1013.66
33,1.4285714285714286,1,15.77,6.52,58.44,1013.66
34,1.4285714285714286,2,15.77,6.52,58.44,1013.66
35,1.4285714285714286,3,15.77,6.52,58.44,1013.66
36,1.4285714285714286,4,15.77,6.52,58.44,1013.66
37,1.4285714285714286,5,15.77,6.52,58.44,1013.66
38,1.4285714285714286,6,15.77,6.52,58.44,1013.66
39,1.4285714285714286,7,15.77,6.52,58.44,1013.66
40,1.4285714285714286,8,15.77,6.52,58.44,1013.66
41,1.4285714285714286,9,15.77,6.52,58.44,1013.66
42,1.4285714285714286,10,15.77,6.52,58.44,1013.66
43,1.4285714285714286,11,15.77,6.52,58.44,1013.66
44,1.4285714285714286,12,15.77,6.52,58.44,1013.66
45,1.4285714285714286,13,15.77,6.52,58.44,1013.66
46,1.4285714285714286,14,15.77,6.52,58.44,1013.66
47,1.4285714285714286,15,15.77,6.52,58.44,1013.66
48,1.4285714285714286,16,15.77,6.52,58.44,1013.66
49,1.4285714285714286,17,15.77,6.52,58.44,1013.66
50,1.4285714285714286,18,15.77,6.52,58.44,1013.66
51,1.4285714285714286,19,15.77,6.52,58.44,1013.66
52,1.4285714285714286,20,15.77,6.52,58.44,1013.66
53,1.4285714285714286,21,15.77,6.52,58.44,1013.66
54,1.4285714285714286,22,15.77,6.52,58.44,1013.66
55,1.4285714285714286,23,15.77,6.52,58.44,1013.66
56,1.4285714285714286,24,15.77,6.52,58.44,1013.66
57,1.4285714285714286,25,15.77,6.52,58.44,1013.66
58,1.4285714285714286,26,15.77,6.52,58.44,1013.66
59,1.4285714285714286,27,15.77,6.52,58.44,1013.66
60,1.4285714285714286,28,15.77,6.52,58.44,1013.66
61,1.4285714285714286,29,15.77,6.52,58.44,1013.66
62,1.4285714285714286,30,15.77,6.52,58.44,1013.66
