indice,quantity DS HTL,P3HT,PCBM,ratio P3HT:PCBM,time,temperature,dew point,hummidity,presure
1,0.15,0.9,0.7,1.2857142857142858,0,15.77,6.52,58.44,1013.66
2,0.15,0.9,0.7,1.2857142857142858,1,15.77,6.52,58.44,1013.66
3,0.15,0.9,0.7,1.2857142857142858,2,15.77,6.52,58.44,1013.66
4,0.15,0.9,0.7,1.2857142857142858,3,15.77,6.52,58.44,1013.66
5,0.15,0.9,0.7,1.2857142857142858,4,15.77,6.52,58.44,1013.66
6,0.15,0.9,0.7,1.2857142857142858,5,15.77,6.52,58.44,1013.66
7,0.15,0.9,0.7,1.2857142857142858,6,15.77,6.52,58.44,1013.66
8,0.15,0.9,0.7,1.2857142857142858,7,15.77,6.52,58.44,1013.66
9,0.15,0.9,0.7,1.2857142857142858,8,15.77,6.52,58.44,1013.66
10,0.15,0.9,0.7,1.2857142857142858,9,15.77,6.52,58.44,1013.66
11,0.15,0.9,0.7,1.2857142857142858,10,15.77,6.52,58.44,1013.66
12,0.15,0.9,0.7,1.2857142857142858,11,15.77,6.52,58.44,1013.66
13,0.15,0.9,0.7,1.2857142857142858,12,15.77,6.52,58.44,1013.66
14,0.15,0.9,0.7,1.2857142857142858,13,15.77,6.52,58.44,1013.66
15,0.15,0.9,0.7,1.2857142857142858,14,15.77,6.52,58.44,1013.66
16,0.15,0.9,0.7,1.2857142857142858,15,15.77,6.52,58.44,1013.66
17,0.15,0.9,0.7,1.2857142857142858,16,15.77,6.52,58.44,1013.66
18,0.15,0.9,0.7,1.2857142857142858,17,15.77,6.52,58.44,1013.66
19,0.15,0.9,0.7,1.2857142857142858,18,15.77,6.52,58.44,1013.66
20,0.15,0.9,0.7,1.2857142857142858,19,15.77,6.52,58.44,1013.66
21,0.15,0.9,0.7,1.2857142857142858,20,15.77,6.52,58.44,1013.66
22,0.15,0.9,0.7,1.2857142857142858,21,15.77,6.52,58.44,1013.66
23,0.15,0.9,0.7,1.2857142857142858,22,15.77,6.52,58.44,1013.66
24,0.15,0.9,0.7,1.2857142857142858,23,15.77,6.52,58.44,1013.66
25,0.15,0.9,0.7,1.2857142857142858,24,15.77,6.52,58.44,1013.66
26,0.15,0.9,0.7,1.2857142857142858,25,15.77,6.52,58.44,1013.66
27,0.15,0.9,0.7,1.2857142857142858,26,15.77,6.52,58.44,1013.66
28,0.15,0.9,0.7,1.2857142857142858,27,15.77,6.52,58.44,1013.66
29,0.15,0.9,0.7,1.2857142857142858,28,15.77,6.52,58.44,1013.66
30,0.15,0.9,0.7,1.2857142857142858,29,15.77,6.52,58.44,1013.66
31,0.15,0.9,0.7,1.2857142857142858,30,15.77,6.52,58.44,1013.66
32,0.15,1.0,0.7,1.4285714285714286,0,15.77,6.52,58.44,1013.66
33,0.15,1.0,0.7,1.4285714285714286,1,15.77,6.52,58.44,1013.66
34,0.15,1.0,0.7,1.4285714285714286,2,15.77,6.52,58.44,1013.66
35,0.15,1.0,0.7,1.4285714285714286,3,15.77,6.52,58.44,1013.66
36,0.15,1.0,0.7,1.4285714285714286,4,15.77,6.52,58.44,1013.66
37,0.15,1.0,0.7,1.4285714285714286,5,15.77,6.52,58.44,1013.66
38,0.15,1.0,0.7,1.4285714285714286,6,15.77,6.52,58.44,1013.66
39,0.15,1.0,0.7,1.4285714285714286,7,15.77,6.52,58.44,1013.66
40,0.15,1.0,0.7,1.4285714285714286,8,15.77,6.52,58.44,1013.66
41,0.15,1.0,0.7,1.4285714285714286,9,15.77,6.52,58.44,1013.66
42,0.15,1.0,0.7,1.4285714285714286,10,15.77,6.52,58.44,1013.66
43,0.15,1.0,0.7,1.4285714285714286,11,15.77,6.52,58.44,1013.66
44,0.15,1.0,0.7,1.4285714285714286,12,15.77,6.52,58.44,1013.66
45,0.15,1.0,0.7,1.4285714285714286,13,15.77,6.52,58.44,1013.66
46,0.15,1.0,0.7,1.4285714285714286,14,15.77,6.52,58.44,1013.66
47,0.15,1.0,0.7,1.4285714285714286,15,15.77,6.52,58.44,1013.66
48,0.15,1.0,0.7,1.4285714285714286,16,15.77,6.52,58.44,1013.66
49,0.15,1.0,0.7,1.4285714285714286,17,15.77,6.52,58.44,1013.66
50,0.15,1.0,0.7,1.4285714285714286,18,15.77,6.52,58.44,1013.66
51,0.15,1.0,0.7,1.4285714285714286,19,15.77,6.52,58.44,1013.66
52,0.15,1.0,0.7,1.4285714285714286,20,15.77,6.52,58.44,1013.66
53,0.15,1.0,0.7,1.4285714285714286,21,15.77,6.52,58.44,1013.66
54,0.15,1.0,0.7,1.4285714285714286,22,15.77,6.52,58.44,1013.66
55,0.15,1.0,0.7,1.4285714285714286,23,15.77,6.52,58.44,1013.66
56,0.15,1.0,0.7,1.4285714285714286,24,15.77,6.52,58.44,1013.66
57,0.15,1.0,0.7,1.4285714285714286,25,15.77,6.52,58.44,1013.66
58,0.15,1.0,0.7,1.4285714285714286,26,15.77,6.52,58.44,1013.66
59,0.15,1.0,0.7,1.4285714285714286,27,15.77,6.52,58.44,1013.66
60,0.15,1.0,0.7,1.4285714285714286,28,15.77,6.52,58.44,1013.66
61,0.15,1.0,0.7,1.4285714285714286,29,15.77,6.52,58.44,1013.66
62,0.15,1.0,0.7,1.4285714285714286,30,15.77,6.52,58.44,1013.66
